Campaign_name,Objective,Amount_spent(NTD),Amount_install,Amount_purchase,Purchase_Conversion_Value,Amount_subscribe,Subscribe_Conversion_Value,Reporting_date
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,470,20,2,9725,,,2020-05-24
20200521_艾蜜莉_下載_軟體,APP_INSTALLS,2937,184,1,888,,,2020-05-24
20200521_股人阿勳_0528銷售前置作業_軟體,LINK_CLICKS,1455,,,,,,2020-05-24
20200522_林恩如_Like_其他_軟體,PAGE_LIKES,480,,,,,,2020-05-24
版本B - 武財神_APP下載_20200221,APP_INSTALLS,50,4,,,,,2020-05-24
版本A - 武財神_APP下載_20200221,APP_INSTALLS,53,6,,,,,2020-05-24
期貨電子盤_下載_IOS(舊),APP_INSTALLS,112,9,,,,,2020-05-25
股市爆料同學會_20190617(下載),APP_INSTALLS,606,97,1,3841,,,2020-05-25
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,6078,283,2,8984,2,800,2020-05-25
武財神_APP下載_20200221,APP_INSTALLS,207,16,,,,,2020-05-25
iCheck APP下載_20200324,APP_INSTALLS,484,37,,,,,2020-05-25
籌碼K線_下載_興趣投資受眾,APP_INSTALLS,575,33,,,2,3990,2020-05-25
籌碼K_下載_相關類似受眾,APP_INSTALLS,4941,119,1,400,1,400,2020-05-25
股市爆料同學會_影片廣告_20200416(下載),APP_INSTALLS,129,22,,,,,2020-05-25
股市爆料同學會_常駐廣告_20200416(下載),APP_INSTALLS,300,48,,,,,2020-05-25
股人阿勳_下載_軟體,APP_INSTALLS,300,18,1,,,,2020-05-25
權證小哥_軟體_導購_20200505,LINK_CLICKS,100,,7,13836,,,2020-05-25
20200923_籌碼K線_最後衝刺_iOS,APP_INSTALLS,985,42,1,,1,3590,2020-05-25
林恩如_下載_0504建立_軟體,APP_INSTALLS,292,21,,,,,2020-05-25
20200513_林恩如_AOS_下載_軟體,APP_INSTALLS,110,5,,,,,2020-05-25
20200514_林恩如_IOS_下載_軟體,APP_INSTALLS,94,6,,,,,2020-05-25
20200521_艾蜜莉_下載_軟體,APP_INSTALLS,2949,142,1,399,1,390,2020-05-25
20200521_股人阿勳_0528銷售前置作業_軟體,LINK_CLICKS,1008,,1,499,,,2020-05-25
20200522_林恩如_Like_其他_軟體,PAGE_LIKES,494,,,,,,2020-05-25
版本B - 武財神_APP下載_20200221,APP_INSTALLS,53,6,,,,,2020-05-25
版本A - 武財神_APP下載_20200221,APP_INSTALLS,54,4,,,,,2020-05-25
202005525-0606_林恩如_強棒旺旺來 即時選股_購買_講座,CONVERSIONS,457,,1,1799,,,2020-05-25
期貨電子盤_下載_IOS(舊),APP_INSTALLS,103,3,,,,,2020-05-26
股市爆料同學會_20190617(下載),APP_INSTALLS,1142,246,,,,,2020-05-26
